subject,n_channels,n_samples,duration_s,mean_plv_alpha,mean_coherence_alpha,mean_kuramoto_r,std_kuramoto_r,mean_gfp,mean_bp_delta,mean_bp_theta,mean_bp_alpha,mean_bp_beta,mean_bp_gamma
alpha_s01,19,119808,234.0,0.2195,0.1284,0.2272,0.1368,12.9037,154.47350395,34.9489989,15.48832867,24.3220774,7.51791441
alpha_s02,19,183648,358.7,0.3824,0.3501,0.157,0.0779,8.6965,36.65666572,7.88708345,37.28279331,12.46903077,5.47267118
alpha_s03,19,91072,177.9,0.3705,0.2955,0.141,0.0716,7.457,34.54308867,8.25872098,14.46184193,9.12911566,3.81061207
alpha_s04,19,97696,190.8,0.291,0.1953,0.128,0.0687,5.6913,18.73465897,5.87040887,4.46384501,8.08372561,3.45875354
alpha_s05,19,95136,185.8,0.3985,0.3508,0.1296,0.0654,6.7999,20.25006928,7.29435171,22.0398672,10.29578761,1.21982831
alpha_s06,19,97120,189.7,0.2774,0.1639,0.1291,0.0738,6.4138,25.40923951,6.0186609,5.0856713,12.01155799,5.08808894
alpha_s08,19,78816,153.9,0.3919,0.2787,0.1808,0.09,13.8205,226.6990791,35.85952667,39.66410943,28.17804446,14.16964515
alpha_s09,19,74112,144.8,0.2865,0.1747,0.1552,0.0918,8.7577,41.86320373,8.79720735,6.10792923,22.21511818,14.22127303
alpha_s10,19,79264,154.8,0.3611,0.2923,0.1435,0.0779,9.041,35.95896715,8.67244942,15.39337096,25.26909069,14.86319774
alpha_s11,19,89440,174.7,0.3702,0.2718,0.1658,0.0823,8.0438,29.29162001,5.43616059,11.62422234,23.41139627,18.55288402
alpha_s12,19,87520,170.9,0.3763,0.2999,0.1334,0.0636,7.2206,18.25376933,5.92129699,31.84523107,9.52248123,1.47210173
alpha_s13,19,85536,167.1,0.3102,0.2386,0.1286,0.0646,6.4443,15.82946225,7.47377315,7.3043147,11.54198816,5.42107223
alpha_s14,19,77504,151.4,0.3844,0.276,0.135,0.0639,6.2113,18.83382647,6.80453486,13.22632365,6.89064398,1.71072935
alpha_s15,19,77728,151.8,0.3221,0.2406,0.139,0.0715,7.3331,26.80944381,7.986577,19.12651975,8.85189638,2.60239263
alpha_s16,19,91424,178.6,0.3049,0.2411,0.1386,0.0788,6.9838,42.12657664,7.28821133,7.91609578,10.60761277,5.98616416
alpha_s17,19,84640,165.3,0.4145,0.3903,0.1568,0.0784,9.5372,31.62593453,11.9030989,68.2015845,9.72692276,1.86198033
alpha_s18,19,89824,175.4,0.3612,0.3218,0.1549,0.0797,8.5161,47.83151995,16.68998441,18.33952827,11.50199361,4.78213983
alpha_s19,19,90912,177.6,0.3658,0.251,0.1537,0.0971,8.493,101.97427323,20.42547267,11.93799394,10.17763748,3.426747
alpha_s20,19,81760,159.7,0.2908,0.1996,0.1355,0.0711,6.2705,25.50238388,7.40314722,4.89440458,8.85014617,3.36469837
