subject,centroid_delta,centroid_theta,centroid_alpha,centroid_beta,centroid_gamma,freq_ratio_alpha_theta,PCI,POI,freq_ratio_theta/delta,freq_ratio_alpha/theta,freq_ratio_beta/alpha,freq_ratio_gamma/beta,freq_error_theta/delta,freq_error_alpha/theta,freq_error_beta/alpha,freq_error_gamma/beta,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,power_ratio_theta/delta,power_ratio_alpha/theta,power_ratio_beta/alpha,power_ratio_gamma/beta
alpha_s01,2.0061379011346583,5.6164852195587835,10.727943802606127,19.87248372097632,35.5458367735234,1.910081373533622,-1.1780109549641002,0.2902745047100657,2.799650620419532,1.910081373533622,1.8524037864691945,1.7886962330734297,0.7302792400973573,0.18049521015826486,0.14484850096226817,0.10547506762237263,154.4735039476182,34.94899890015574,19.18663959833126,24.322077404125984,7.51791440574244,0.2262459127748336,0.5489896764466624,1.267656969292391,0.30909836692103876
alpha_s02,2.079276913735504,5.807685509281576,10.480505174666058,20.56595729361702,35.818759981930256,1.8045924074085273,0.046343168435905656,0.2826799083115251,2.7931274910602637,1.8045924074085273,1.962305914731092,1.7416529398827056,0.7262477244401929,0.11529944365285966,0.21277175166616574,0.0764007134868821,36.656665721938076,7.887083452568202,39.798784329553676,12.469030767511853,5.472671181509941,0.21516096178512997,5.0460711578491475,0.31330179998117763,0.438901088909735
alpha_s03,2.1284833047137166,5.759599065926929,10.115274811878372,19.482163759326976,35.86615508077384,1.756246345638723,0.5673667812310261,0.27148108882562655,2.705963938346043,1.756246345638723,1.9260142825234035,1.8409739043284201,0.6723776862809503,0.08541993425599727,0.1903422894539122,0.13778444531164638,34.54308867320698,8.258720979853434,15.597685396056216,9.129115655767695,3.8106120653046944,0.23908461278563178,1.8886320816632098,0.5852865616892067,0.41741305609346546
alpha_s04,2.1476378128907614,5.73875043759664,10.50080559163136,20.141747165834865,35.70693504260483,1.8298069772884296,-0.21858167174694756,0.26586122451773997,2.672122088347929,1.8298069772884296,1.918114471320836,1.772782408031225,0.6514622727392951,0.13088290485082912,0.18545993762586782,0.09563978285496766,18.734658968188317,5.870408873753141,5.368513608799962,8.083725606097369,3.458753543642387,0.31334484837547183,0.9145042064791814,1.5057660639709818,0.42786627258024795
alpha_s05,2.089987600089634,6.31364212519788,9.461047231366587,18.82385396962127,35.43380378572224,1.4985086331718653,1.4340578635378893,0.3334799231802526,3.020899322525696,1.4985086331718653,1.9896163193450505,1.882388369719974,0.8670184579699837,0.07387073223608025,0.22965050996462455,0.16337999255032212,20.250069278266384,7.29435171483795,22.861310637024026,10.295787607235182,1.2198283148443256,0.3602136671535586,3.1341113687348305,0.4503585892648295,0.11847838760651132
alpha_s06,2.0507908803665496,5.879077672996454,10.43322892358332,20.33008862158652,36.01402832796532,1.7746370270807634,0.3639981298040071,0.29191175494649896,2.8667367937318176,1.7746370270807634,1.9485902945762352,1.7714644042291863,0.7717407753807946,0.0967860004638007,0.2042950322334198,0.09482521170798094,25.409239508254263,6.018660899731171,5.978357403340438,12.011557991835437,5.088088942466812,0.2368689900292369,0.9933035774797458,2.009173621022376,0.42359941532358386
alpha_s08,2.0950235007667657,5.638811459005354,10.443308640052052,20.268726403061237,35.58571749163641,1.8520407564565347,-0.4584131825993352,0.2731649935918501,2.6915265900079803,1.8520407564565347,1.9408338010165533,1.7556957839374558,0.6634549143003305,0.14462413607550118,0.19950125557986892,0.08507966841169974,226.69907909668214,35.85952667419526,43.30098800466493,28.178044461134355,14.169645148483811,0.15818117487324226,1.2075169981489073,0.6507483029740259,0.5028611963483781
alpha_s09,2.0595125560487793,5.638353536394453,10.418591904451459,21.391557040012298,35.89009181210204,1.8478074915312628,-0.41194783082792746,0.28496978448091675,2.7377126300272527,1.8478074915312628,2.0532099957646404,1.677769025647392,0.691999456838884,0.1420078344682197,0.2689535634627058,0.03691828315385754,41.863203730928966,8.797207352014174,7.505485878795119,22.21511817532372,14.22127303455575,0.2101417609736043,0.8531668719933823,2.959850772364652,0.6401619348733677
alpha_s10,2.099774177892573,5.652047688750713,10.610392521117404,21.026565121472224,36.06606925934596,1.8772652152661946,-0.7476946243822207,0.2771615697425259,2.691740734912437,1.8772652152661946,1.981695312366999,1.715262053073779,0.6635872631298064,0.16021370896817347,0.22475505842691265,0.060090248445211214,35.95896715341796,8.67244942133815,16.92691732738544,25.269090688734092,14.863197742723804,0.2411762658348161,1.9518035222825931,1.4928347672527564,0.5881967786577447
alpha_s11,2.024589573502304,5.683485182161839,10.24127152572955,22.220831229279693,36.57661133427602,1.801935115072132,0.07419642216002159,0.3017259934194528,2.807228317554788,1.801935115072132,2.1697336286274047,1.6460505440534632,0.7349625144835428,0.11365714667087215,0.3409691290667291,0.01731518345666706,29.2916200122492,5.43616058793548,13.026268636891915,23.41139626538177,18.552884016213078,0.18558757029014375,2.396225870479476,1.7972450068377954,0.7924723415000696
