subject,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,ratio_theta/delta,ratio_alpha/theta,ratio_beta/alpha,ratio_gamma/beta,error_theta/delta,error_alpha/theta,error_beta/alpha,error_gamma/beta,POI
alpha_s01,154.4735039476182,34.94899890015574,15.488328665935233,24.322077404125984,7.51791440574244,0.2262459127748336,0.4431694512962491,1.5703487399269584,0.30909836692103876,0.860172336085097,0.7261062163148309,0.02947110450464265,0.808966703369821,0.6061790900685979
alpha_s02,36.656665721938076,7.887083452568202,37.28279330753471,12.469030767511853,5.472671181509941,0.21516096178512997,4.727069712365556,0.33444465023472125,0.438901088909735,0.8670232125605718,1.921489749522192,0.7933018387929978,0.7287442093460796,1.0776397525554604
alpha_s03,34.54308867320698,8.258720979853434,14.461841929150747,9.129115655767695,3.8106120653046944,0.23908461278563178,1.7510994698125033,0.6312553892160948,0.41741305609346546,0.8522375831068153,0.08223899005942024,0.609862713870879,0.7420245439783169,0.5715909577538578
alpha_s04,18.734658968188317,5.870408873753141,4.4638450054124466,8.083725606097369,3.458753543642387,0.31334484837547183,0.760397631819224,1.810933308906512,0.42786627258024795,0.8063422334983045,0.5300484185562993,0.11921833629805019,0.7355641008975252,0.5477932723125448
alpha_s05,20.250069278266384,7.29435171483795,22.039867199382694,10.295787607235182,1.2198283148443256,0.3602136671535586,3.0214977370161438,0.4671438132587093,0.11847838760651132,0.7773757104799941,0.8673882984644523,0.7112892457629809,0.9267763295246336,0.8207073960580152
alpha_s06,25.409239508254263,6.018660899731171,5.0856713031646,12.011557991835437,5.088088942466812,0.2368689900292369,0.8449838573546743,2.361843162054368,0.42359941532358386,0.8536069132765574,0.47777125619371463,0.4596993502911378,0.7382011637073691,0.6323196708671948
alpha_s08,226.69907909668214,35.85952667419526,39.664109427436955,28.178044461134355,14.169645148483811,0.15818117487324226,1.1060968480651894,0.7104166680632109,0.5028611963483781,0.9022386575449308,0.3163945530255044,0.5609383529489445,0.6892146890236843,0.617196563135766
alpha_s09,41.863203730928966,8.797207352014174,6.10792923463737,22.21511817532372,14.22127303455575,0.2101417609736043,0.6943032021677792,3.637094884686011,0.6401619348733677,0.8701252492585515,0.5708970225491906,1.2478482591136506,0.6043581659321619,0.8233071742133886
alpha_s10,35.95896715341796,8.67244942133815,15.393370960365914,25.269090688734092,14.863197742723804,0.2411762658348161,1.7749738525417347,1.6415566644756168,0.5881967786577447,0.8509448704297073,0.09699417004696372,0.014537813136123302,0.6364743987051051,0.39973781307947487
alpha_s11,29.2916200122492,5.43616058793548,11.624222344572695,23.41139626538177,18.552884016213078,0.18558757029014375,2.1383147455890903,2.0140182776452535,0.7924723415000696,0.885300573667644,0.32155119145989447,0.2447317495866727,0.5102251577936401,0.49045216812696285
alpha_s12,18.253769325560402,5.921296990856762,31.845231065304862,9.522481228873865,1.4721017270915915,0.32438763113793073,5.378083739842464,0.29902377562738225,0.15459224247435804,0.7995174184205128,2.3238385456682864,0.8151931432122566,0.9044567397508354,1.2107514617629729
alpha_s13,15.829462250293698,7.473773145353791,7.304314697323967,11.541988157363383,5.421072228775103,0.472143211637851,0.9773262521173565,1.580160307385434,0.4696827058617843,0.708199447641275,0.39597915807529876,0.02340722233220534,0.7097201238404466,0.45932648797230635
alpha_s14,18.833826469748214,6.804534860690497,13.226323652295818,6.890643982046528,1.7107293464821145,0.3612932757780403,1.943751325120504,0.5209795377153389,0.2482684275866515,0.7767084756554964,0.20130438463916314,0.678016938238784,0.8465616734132257,0.6256478679866673
alpha_s15,26.809443814122602,7.986576996282819,19.126519754163013,8.851896376050986,2.6023926333878054,0.29790162942789855,2.394833201140494,0.4628074782985186,0.2939926681054062,0.8158866677039054,0.48008831573717975,0.7139692481550659,0.8183025386619889,0.707061692564535
alpha_s16,42.12657664069209,7.28821132597055,7.916095783266727,10.607612771782172,5.986164155243773,0.17300744345151736,1.0861506931143443,1.3400056116305277,0.5643271755892014,0.8930755196369397,0.3287219547303788,0.17183098687120446,0.6512266246998886,0.5112137714846028
alpha_s17,31.62593452558502,11.903098900527805,68.20158450268735,9.726922757131948,1.861980327160832,0.3763714520719802,5.729733498195429,0.14262018731762277,0.19142542545591779,0.7673896502171912,2.541170048472808,0.9118558767531144,0.8816925807536853,1.2755270390491997
alpha_s18,47.83151995278958,16.68998440987225,18.339528273755736,11.501993609075514,4.782139827680521,0.34893276287990665,1.0988343561847649,0.6271695453331325,0.4157661697801005,0.78434769274516,0.3208830198507653,0.6123879042633534,0.7430423756956147,0.6151652481387233
alpha_s19,101.97427322932533,20.425472666050272,11.937993936770804,10.177637484592358,3.4267470000032767,0.2003002523991159,0.5844659818626017,0.8525416865260516,0.3366937567967943,0.8762076360583463,0.6387801579296938,0.473100260884494,0.7919118144932734,0.6949999673414519
alpha_s20,25.50238387553114,7.403147219930334,4.894404578185122,8.85014617213645,3.364698374409712,0.2902923607480263,0.6611248476875731,1.8082171244245901,0.38018562732930145,0.8205894543777414,0.5914023733093827,0.11753964196845566,0.7650323602690452,0.5736409574811563
